date,lift_reason,det_facility,city,state,detainer_type
2007-10-02 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-02 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-02 00:00:00,Lifted,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-10-02 00:00:00,Booked into Detention,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-10-02 00:00:00,Booked into Detention,SCI SMITHFIELD,HUNTINGDON,PENNSYLVANIA,
2007-10-02 00:00:00,Booked into Detention,SCI SMITHFIELD,HUNTINGDON,PENNSYLVANIA,
2007-10-02 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-02 00:00:00,Booked into Detention,SCI SMITHFIELD,HUNTINGDON,PENNSYLVANIA,
2007-10-02 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-03 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-03 00:00:00,Booked into Detention,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-03 00:00:00,Case Closed,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-10-03 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-03 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-03 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-10-03 00:00:00,,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-03 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-04 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-04 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-04 00:00:00,Booked into Detention,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-04 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-04 00:00:00,Case Closed,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-04 00:00:00,Transferred,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-05 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-05 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,FDC PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,PHILADELPHIA DETENTION CT,PHILADELPHIA,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,PHILADELPHIA DETENTION CT,PHILADELPHIA,PENNSYLVANIA,
2007-10-05 00:00:00,Booked into Detention,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-05 00:00:00,Case Closed,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-10-05 00:00:00,Lifted,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-10-05 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-08 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-09 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-09 00:00:00,Booked into Detention,PIKE COUNTY JAIL,MILFORD,PENNSYLVANIA,
2007-10-09 00:00:00,Case Closed,SCHUYLKILL FED.CORR.INST.,MINERSVILLE,PENNSYLVANIA,
2007-10-09 00:00:00,Booked into Detention,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-10 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-10 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-10 00:00:00,Lifted,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-10 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-10 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-11 00:00:00,Booked into Detention,PHILADELPHIA DETENTION CT,PHILADELPHIA,PENNSYLVANIA,
2007-10-11 00:00:00,,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-11 00:00:00,,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-11 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-11 00:00:00,Booked into Detention,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-12 00:00:00,Booked into Detention,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-12 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-12 00:00:00,Booked into Detention,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-12 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-14 00:00:00,Booked into Detention,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-14 00:00:00,Booked into Detention,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-14 00:00:00,,"YORK COUNTY JAIL, PA",YORK,PENNSYLVANIA,
2007-10-15 00:00:00,,"YORK COUNTY JAIL, PA",YORK,PENNSYLVANIA,
2007-10-15 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-15 00:00:00,Case Closed,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-15 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-15 00:00:00,Booked into Detention,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-15 00:00:00,Booked into Detention,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-15 00:00:00,Case Closed,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-10-16 00:00:00,,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-16 00:00:00,Booked into Detention,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-10-16 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-16 00:00:00,Booked into Detention,"SCI ROCKVIEW, PA",BELLEFONTE,PENNSYLVANIA,
2007-10-16 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-16 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-10-16 00:00:00,Case Closed,SCI SMITHFIELD,HUNTINGDON,PENNSYLVANIA,
2007-10-17 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-17 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-17 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-17 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-17 00:00:00,,FDC PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,
2007-10-17 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-17 00:00:00,Booked into Detention,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-18 00:00:00,Booked into Detention,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-18 00:00:00,,SCI SMITHFIELD,HUNTINGDON,PENNSYLVANIA,
2007-10-18 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-18 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-18 00:00:00,Case Closed,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-18 00:00:00,,"ERIE COUNTY JAIL, PA",ERIE,PENNSYLVANIA,
2007-10-18 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-18 00:00:00,Lifted,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-18 00:00:00,Early Release,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-18 00:00:00,,SCI SMITHFIELD,HUNTINGDON,PENNSYLVANIA,
2007-10-18 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-19 00:00:00,Booked into Detention,"YORK COUNTY JAIL, PA",YORK,PENNSYLVANIA,
2007-10-19 00:00:00,Booked into Detention,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-19 00:00:00,,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-10-19 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-19 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-19 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-19 00:00:00,Booked into Detention,"CAMPHILL SCI, PA",CAMP HILL,PENNSYLVANIA,
2007-10-19 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-19 00:00:00,Lifted,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-22 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-22 00:00:00,,SCI HOUTZDALE,HOUTZDALE,PENNSYLVANIA,
2007-10-22 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-22 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-22 00:00:00,Case Closed,CLINTON COUNTY CORR. FAC.,MCELHATTAN,PENNSYLVANIA,
2007-10-22 00:00:00,Booked into Detention,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-22 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-22 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-22 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-22 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-22 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-22 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-22 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-23 00:00:00,Lifted,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-23 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-23 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-23 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-23 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-23 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-23 00:00:00,Booked into Detention,"CAMBRIA COUNTY JAIL, PA",EBENSBURG,PENNSYLVANIA,
2007-10-23 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-23 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-23 00:00:00,,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-10-23 00:00:00,Case Closed,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-24 00:00:00,Booked into Detention,"SCI HUNTINGDON, PA",HUNTINGDON,PENNSYLVANIA,
2007-10-24 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-24 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-24 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-10-24 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-24 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-24 00:00:00,Booked into Detention,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-25 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-25 00:00:00,Case Closed,CLINTON COUNTY CORR. FAC.,MCELHATTAN,PENNSYLVANIA,
2007-10-25 00:00:00,Case Closed,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-10-25 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-25 00:00:00,,LORETTO FED.CORR.INST.,LORETTO,PENNSYLVANIA,
2007-10-25 00:00:00,Lifted,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-25 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-25 00:00:00,Case Closed,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-10-26 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-26 00:00:00,,"SCI HUNTINGDON, PA",HUNTINGDON,PENNSYLVANIA,
2007-10-26 00:00:00,Case Closed,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-10-29 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-29 00:00:00,Case Closed,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-30 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-10-30 00:00:00,,"MERCER CO. JAIL, PA",MERCER,PENNSYLVANIA,
2007-10-30 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-10-30 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,"MERCER CO. JAIL, PA",MERCER,PENNSYLVANIA,
2007-10-30 00:00:00,Case Closed,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-10-30 00:00:00,Booked into Detention,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-10-31 00:00:00,Case Closed,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-10-31 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-31 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-31 00:00:00,Booked into Detention,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-10-31 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-31 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-31 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-10-31 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-10-31 00:00:00,Booked into Detention,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-10-31 00:00:00,Booked into Detention,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-01 00:00:00,Case Closed,CLINTON COUNTY CORR. FAC.,MCELHATTAN,PENNSYLVANIA,
2007-11-01 00:00:00,Case Closed,CLINTON COUNTY CORR. FAC.,MCELHATTAN,PENNSYLVANIA,
2007-11-01 00:00:00,,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-11-01 00:00:00,Alien Not Subject to Deportation,SCI SOMERSET,SOMERSET,PENNSYLVANIA,
2007-11-02 00:00:00,,MONROE CO JAIL,STROUDSBURG,PENNSYLVANIA,
2007-11-02 00:00:00,Transferred,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-02 00:00:00,Case Closed,PHILADELPHIA DETENTION CT,PHILADELPHIA,PENNSYLVANIA,
2007-11-02 00:00:00,,"YORK COUNTY JAIL, PA",YORK,PENNSYLVANIA,
2007-11-02 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-11-02 00:00:00,Booked into Detention,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-11-02 00:00:00,Lifted,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-11-05 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-11-05 00:00:00,,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-11-05 00:00:00,Lifted,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-05 00:00:00,Booked into Detention,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-11-05 00:00:00,Case Closed,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-11-05 00:00:00,Booked into Detention,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-11-05 00:00:00,Booked into Detention,"CAMPHILL SCI, PA",CAMP HILL,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,USP CANAAN,WAYMART,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,"YORK COUNTY JAIL, PA",YORK,PENNSYLVANIA,
2007-11-06 00:00:00,,"SCI HUNTINGDON, PA",HUNTINGDON,PENNSYLVANIA,
2007-11-06 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-11-06 00:00:00,,"CAMPHILL SCI, PA",CAMP HILL,PENNSYLVANIA,
2007-11-06 00:00:00,Lifted,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-06 00:00:00,Lifted,ALLENWOOD HOLD ROOM,WHITE DEER,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,Case Closed,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-11-06 00:00:00,,PHILADELPHIA DETENTION CT,PHILADELPHIA,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-06 00:00:00,,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-11-06 00:00:00,,"SCI HUNTINGDON, PA",HUNTINGDON,PENNSYLVANIA,
2007-11-06 00:00:00,,"SCI ROCKVIEW, PA",BELLEFONTE,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2007-11-06 00:00:00,Booked into Detention,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2007-11-07 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-07 00:00:00,,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-07 00:00:00,Transferred,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-07 00:00:00,Case Closed,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-11-07 00:00:00,Case Closed,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-11-07 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-07 00:00:00,Case Closed,DELAWARE CO JAIL,THORNTON,PENNSYLVANIA,
2007-11-07 00:00:00,Case Closed,ALLENWOOD (LOW) FCI,WHITE DEER,PENNSYLVANIA,
2007-11-07 00:00:00,Case Closed,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,"SCI ROCKVIEW, PA",BELLEFONTE,PENNSYLVANIA,
2007-11-08 00:00:00,Transferred,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,"CAMPHILL SCI, PA",CAMP HILL,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Transferred,"BUCKS CNTY JAIL, PA",DOYLESTOWN,PENNSYLVANIA,
2007-11-08 00:00:00,Booked into Detention,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2007-11-08 00:00:00,Case Closed,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2008-08-25 00:00:00,,USP CANAAN,WAYMART,PENNSYLVANIA,
2007-11-09 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-09 00:00:00,Booked into Detention,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-11-09 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-11-09 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-09 00:00:00,Booked into Detention,"SCI ROCKVIEW, PA",BELLEFONTE,PENNSYLVANIA,
2007-11-09 00:00:00,Case Closed,"YORK COUNTY JAIL, PA",YORK,PENNSYLVANIA,
2007-11-09 00:00:00,Booked into Detention,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-11 00:00:00,Case Closed,SNYDER COUNTY JAIL,SELINS GROVE,PENNSYLVANIA,
2007-11-13 00:00:00,,CURRAN FROMHOLD CORR.FAC.,PHILADELPHIA,PENNSYLVANIA,
2007-11-13 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-13 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-11-13 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-11-13 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-13 00:00:00,,"CHESTER CNTY JAIL, PA",WEST CHESTER,PENNSYLVANIA,
2007-11-14 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
2007-11-14 00:00:00,Case Closed,"MONTGOMERY CNTY JAIL, PA",NORRISTOWN,PENNSYLVANIA,
2007-11-14 00:00:00,Booked into Detention,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-11-14 00:00:00,,"LACKAWANA CNTY JAIL, PA",SCRANTON,PENNSYLVANIA,
2007-11-14 00:00:00,,MCKEAN FED.CORR.INST.,BRADFORD,PENNSYLVANIA,
